USAF,WBAN,Station_Name,CTRY,ST,Call,LAT,LON,ELEV,BEGIN,END
151200,99999,CLUJ,NAPOCA,RO,LRCL,46.785,23.686,315.8,1936-01-01,2025-03-10
151205,99999,CLUJ-NAPOCA/SOMESEN,RO,LRCL,+46.783,23.567,410.0,19760203.0,1990-01-08,
151230,99999,SARMASU,RO,+46.750,+024.167,398.0,19730722.0,20250310.0,,
151240,99999,BATOS,RO,+46.883,+024.650,448.0,19870301.0,20250310.0,,
151270,99999,JOSENI,RO,+46.700,+025.517,751.0,19730721.0,20250310.0,,
151320,99999,PLOPANA,RO,+46.683,+027.233,251.0,19730721.0,19971231.0,,
151340,99999,HUSI,RO,+46.683,+028.067,98.0,19830301.0,19971231.0,,
151360,99999,CHISINEU-CRIS,RO,+46.533,+021.533,96.0,19730721.0,20250310.0,,
151380,99999,DUMBRAVITA,DE,CODRU,RO,46.633,22.167,586.0,1984-01-01,2025-03-10
151400,99999,STEIU,RO,+46.533,+022.450,500.0,19840401.0,19971231.0,,
151430,99999,TURDA,RO,+46.583,+023.783,428.0,19740315.0,20250310.0,,
151450,99999,VIDRASAU,RO,LRTM,+46.468,24.413,293.5,19520401.0,2025-03-10,
151455,99999,TIGU,MURES/VIDRASA,RO,LRTM,46.533,24.533,308.0,1976-02-03,1990-01-27
151480,99999,BUCIN,RO,+46.650,+025.300,1279.0,19830301.0,20250310.0,,
151490,99999,BOGUS,ROMANIAN,RO,19910201,20020828.0,,,,
151500,99999,BACAU,RO,LRBC,+46.522,26.91,185.0,19520101.0,2025-03-10,
151520,99999,BOGUS,ROMANIAN,RO,19840401,19971231.0,,,,
151540,99999,VASLUI,RO,+46.650,+027.717,117.0,19740316.0,20250310.0,,
151550,99999,20010728,20030222,,,,,,,
151580,99999,ZARAND,RO,+46.400,+021.650,112.0,19830301.0,19971231.0,,
151590,99999,MOCREA,RO,+46.383,+021.817,697.0,19830301.0,19971205.0,,
151600,99999,STEI,RO,+46.533,+022.467,279.0,19730804.0,20250310.0,,
151620,99999,CAMPENI,RO,+46.367,+023.050,611.0,19740315.0,20250310.0,,
151630,99999,BAISOARA,RO,+46.533,+023.317,1356.0,19730721.0,20250310.0,,
151650,99999,TARNAVENI,RO,+46.367,+024.233,524.0,19870301.0,20250310.0,,
151680,99999,ODORHEIUL,SECUIESC,RO,+46.300,25.3,525.0,19730802.0,2025-03-10,
151700,99999,MIERCUREA,CIUC,RO,+46.367,25.733,662.0,19660102.0,2025-03-10,
151740,99999,ONCESTI,RO,+46.467,+027.250,204.0,19730721.0,19971231.0,,
151750,99999,BOGUS,ROMANIAN,RO,19890310,20020928.0,,,,
151790,99999,SIRIA,RO,+46.250,+021.650,473.0,19850401.0,20250310.0,,
151820,99999,GURAHONT,RO,+46.267,+022.333,177.0,19730721.0,20250310.0,,
151840,99999,ROSIA,MONTANA,RO,+46.317,23.133,1193.0,19840101.0,2025-03-10,
151860,99999,BOGUS,ROMANIAN,RO,19850104,19971231.0,,,,
151880,99999,BOGUS,ROMANIAN,RO,19890601,20030401.0,,,,
151890,99999,DUMBRAVENI,RO,+46.233,+024.600,319.0,19730105.0,20250310.0,,
151910,99999,BOGUS,ROMANIAN,RO,19860603,20021222.0,,,,
151940,99999,TARGU,OCNA,RO,+46.267,26.65,243.0,19730114.0,2025-03-10,
151970,99999,BARLAD,RO,+46.233,+027.650,173.0,19660102.0,20250310.0,,
151990,99999,SANNICOLAU,MARE,RO,+46.067,20.6,86.2,19730802.0,2025-03-10,
152000,99999,ARAD,RO,LRAR,+46.177,21.262,107.3,19361105.0,2025-03-10,
152005,99999,ARAD,RO,+46.167,+021.317,108.0,19751202.0,19901120.0,,
152040,99999,VARADIA,DE,MURES,RO,46.017,22.15,157.0,1973-07-21,2025-03-10
152060,99999,TEBEA,RO,+46.167,+022.726,264.0,19730802.0,20250310.0,,
152080,99999,ALBA,IULIA,RO,+46.067,23.567,247.0,19830301.0,2025-03-10,
152090,99999,BLAJ,RO,+46.183,+023.933,334.0,19730105.0,20250310.0,,
152100,99999,BOGUS,ROMANIAN,RO,19890508,20030130.0,,,,
152110,99999,BOGUS,ROMANIAN,RO,19870615,20030615.0,,,,
152120,99999,HOMOROD,RO,+46.050,+025.267,451.0,19840902.0,19971231.0,,
152150,99999,BARAOLT,RO,+46.083,+025.600,509.0,19730721.0,20250310.0,,
152170,99999,TARGU,SECUIESC,RO,+46.000,26.133,569.0,19730721.0,2025-03-10,
152190,99999,ADJUD,RO,+46.100,+027.167,102.0,19740318.0,20250310.0,,
152210,99999,BALINTESTI,RO,+46.033,+027.917,214.0,19730721.0,19971231.0,,
152220,99999,BOGUS,ROMANIAN,RO,19840104,19971210.0,,,,
152300,99999,DEVA,RO,+45.867,+022.900,231.0,19520101.0,20250310.0,,
152310,99999,SEBES,ALBA,RO,+45.967,23.533,272.2,19730721.0,2025-03-10,
152350,99999,FAGARAS,RO,+45.833,+024.933,429.0,19660505.0,20250310.0,,
152370,99999,BOGUS,ROMANIAN,RO,19881001,19971231.0,,,,
152380,99999,SFANTU,GHEORGHE,GOVASNA,RO,45.867,25.817,526.0,1974-03-15,2025-03-10
152390,99999,BOGUS,ROMANIAN,RO,19880501,19971220.0,,,,
152410,99999,TULNICI,RO,+45.917,+026.667,563.0,19730721.0,19971231.0,,
152450,99999,JIMBOLIA,RO,+45.783,+020.700,80.0,19860101.0,20250310.0,,
152470,99999,TRAIAN,VUIA,RO,LRTR,45.81,21.338,106.1,1952-01-01,2025-03-10
152490,99999,BOGUS,ROMANIAN,RO,19910201,20020901.0,,,,
152540,99999,PALTINIS,SIBIU,RO,+45.650,23.933,1454.0,19730802.0,2025-03-10,
152590,99999,POSTAVARU,RO,+45.567,+025.550,1784.0,19891201.0,19971231.0,,
152600,99999,SIBIU,RO,LRSB,+45.786,24.091,456.0,19360101.0,2025-03-10,
152610,99999,INTORSURA,BUZAULUI,RO,+45.683,26.017,710.0,19730105.0,2025-03-10,
152620,99999,LACAUTI,RO,+45.817,+026.383,1785.0,19730721.0,20250310.0,,
152640,99999,FOCSANI,RO,+45.700,+027.200,59.0,19830301.0,20250310.0,,
152650,99999,TECUCI,RO,+45.850,+027.417,61.0,19360102.0,20250310.0,,
152670,99999,RAUTI,RO,+45.667,+020.933,80.0,19730721.0,19971231.0,,
152700,99999,LUGOJ,RO,+45.683,+021.933,123.0,19740316.0,20250310.0,,
152710,99999,20010707,20020803,,,,,,,
152720,99999,20010820,20030220,,,,,,,
152730,99999,PICLISA,RO,+45.567,+022.883,381.0,19730721.0,19971231.0,,
152770,99999,BOITA,RO,+45.650,+024.267,519.0,19730721.0,20250310.0,,
152780,99999,BOGUS,ROMANIAN,RO,19840102,19971231.0,,,,
152790,99999,BALEA,LAC,RO,+45.600,24.617,2038.0,19830301.0,2025-03-10,
152800,99999,VARFU,OMU,RO,+45.450,25.45,2509.0,19520101.0,2025-03-10,
152810,99999,BOGUS,ROMANIAN,RO,19830301,20021106.0,,,,
152820,99999,POIANA,BRASOV,RO,+45.600,25.55,1028.0,19870301.0,1997-12-31,
152830,99999,BOGUS,ROMANIAN,RO,19840501,19971231.0,,,,
152840,99999,PENTELEU,RO,+45.600,+026.417,1626.0,19880101.0,20250310.0,,
152850,99999,BISOCA,RO,+45.550,+026.700,833.0,19840401.0,20250310.0,,
152870,99999,MAICANESTI,RO,+45.500,+027.500,18.0,19740315.0,19971231.0,,
152890,99999,BANLOC,RO,+45.383,+021.133,83.0,19730105.0,20250310.0,,
152900,99999,BOGUS,ROMANIAN,RO,+00.000,0.0,-999.9,19850102.0,1997-12-31,
152920,99999,CARANSEBES,RO,LRCS,+45.420,22.253,264.0,19650701.0,2025-03-10,
152950,99999,BOGUS,ROMANIAN,RO,19880201,20030302.0,,,,
152960,99999,PETROSANI,RO,+45.417,+023.383,599.0,19730115.0,20250310.0,,
152970,99999,OBARSIA,LOTRULUI,RO,+45.433,23.633,1350.0,19830301.0,2025-03-10,
152980,99999,COZIA,PASS,(AUT),RO,45.25,24.25,1640.0,1974-03-18,1997-12-31
152990,99999,RUCAR,RO,+45.400,+025.167,581.0,19830301.0,19971231.0,,
153000,99999,BRASOV,GHIMBAV,RO,LRBV,45.706,25.524,538.0,1973-07-21,2025-03-10
153010,99999,FUNDATA,RO,+45.433,+025.267,1383.0,19730721.0,20250310.0,,
153020,99999,PREDEAL,RO,+45.500,+025.583,1093.0,19340703.0,20250310.0,,
